FE_H_pred,FE_H_err,LOGG_actual,FE_H_actual
0.20612013687153813,0.018367990437996317,2.3925078,0.20293
0.045239129257483274,0.020855302029842322,2.7351677,0.066552
-0.23620155340712176,0.007304752658224136,2.275919,-0.24544
-0.25172588343380964,0.013912914183518555,1.3631401,-0.23996
-0.3700279634057545,0.013782724296997229,2.8347569,-0.38078
-0.22293480133470567,0.05310545241853309,4.1288815,-0.10061
-0.32675556018915397,0.01690879493648843,2.4417558,-0.36704
0.04726497216769465,0.0790029759388421,4.3953795,0.029314
-0.1391695375268368,0.04802268906833514,3.9946105,-0.11934
0.07994592369713463,0.01720275659793623,2.7416651,0.056484
-0.08766310614477961,0.01078109404903062,2.4087183,-0.06472
0.12044315741508888,0.025310963722474072,1.425848,0.097914
-0.016941826094432982,0.013021548740001459,2.55343,-0.027804
0.1147176878583574,0.01641394878818066,2.8413801,0.14819
-0.19319569900473313,0.012577328543357027,1.7091703,-0.2241
-0.17200339116046856,0.07684361459977139,4.1085763,-0.28115
0.13732891477156894,0.0342889521383326,4.4656496,0.08941
-0.0910358720742479,0.013099611084859367,2.7370732,-0.093
0.27476621312015265,0.04033138026622792,4.053963,0.15237
-0.11400188949256684,0.1190149317298718,4.6789594,
-0.31793745311368854,0.02096911249130222,1.4869602,-0.26292
-1.1724566307655062,0.08896366136105209,1.2906678,-1.2957
-0.42511593417056226,0.029288925005786823,3.1202688,-0.45435
-0.401769850730784,0.03795045573723844,0.81554943,-0.40602
0.23874312253183755,0.022586120499653597,2.5331182,0.28062
-0.39306197299052026,0.07790744669858604,4.1652074,-0.17175
0.1633125565654106,0.06952466586901623,3.8775332,0.097472
0.3042764401697713,0.03559531831406639,4.034472,0.27514
-0.21478612298831257,0.011780054891191896,2.2945123,-0.25926
-0.34093130613622846,0.01320079128003921,1.4534492,-0.27613
-0.313560148090398,0.03236471218028612,4.621238,-0.23565
-0.3596484767195457,0.049535110209396736,0.9711347,-0.5417
-0.3906642751767972,0.033849162862999875,4.6438828,-0.29994
0.21395578668132204,0.018414570765853316,2.3735938,0.1909
-0.006688288881644799,0.02986013283857465,3.3569024,-0.17346
-0.6818201573796936,0.02887395745196642,2.3761559,-0.61269
0.09959015432702856,0.015070504149180526,2.4983466,0.089852
-0.5089304882320759,0.018997371772469258,2.5404012,-0.48618
0.1472006820917074,0.021399635361630902,2.478577,0.1848
-0.05754029031029691,0.017863812598162766,2.3540938,-0.065196
-0.13841415534594254,0.19340304532794853,4.1784363,-0.29784
-0.4827115580949577,0.031150325081249874,4.556402,-0.5259
-0.0533465324563957,0.014383928610848615,3.0549126,-0.048028
-0.4505341818428637,0.012610687815425747,2.1125836,-0.47246
0.19320828661239764,0.03625371255069335,3.929201,0.13818
0.30930948729852686,0.04766470915610001,3.8009217,0.013
-0.004884377334523987,0.026273389798959906,4.1079535,0.09128
-0.34466626028290714,0.04576913961353612,4.6005907,-0.35827
-0.1949363361393061,0.010472509276983346,2.9672208,-0.15574
-0.06917013589875119,0.02623964201857328,1.3339899,-0.041276
-0.5839757224444702,0.03353348219522878,2.689253,-0.64785
0.050553734678826456,0.015129796083902042,2.6733756,0.031514
-0.13822827070502064,0.0735811379406723,4.1641097,-0.14016
0.1367645309857095,0.029423271824282702,1.5005548,0.12899
-0.05357473988774032,0.15250785922211918,4.088982,-0.1999
-0.20342583153461202,0.01061511323507338,2.1527734,-0.22546
0.06303167144959104,0.015221432673928151,3.306633,0.094007
-0.17122902665580997,0.019117798648312957,2.4944966,-0.1602
-0.3607195010384605,0.009870450886995067,2.1577554,-0.38036
-0.5876957784209413,0.021386663678950264,2.332964,-0.62836
-0.58646176469509,0.027327435341138278,2.3800387,-0.54505
-0.36905014683447096,0.016281676154588667,2.5418272,-0.33183
-0.4634904183746223,0.023445796293625223,2.722428,-0.35003
-0.37395578892145237,0.012489309468797961,2.0871933,-0.41185
