time,loss,mse_loss,val_loss,val_mse_loss,lr
1.1508440971374512,-1.738,0.017,0.696,0.464,8.2113e-05
1.1519806385040283,-1.700,0.019,0.690,0.470,8.1871e-05
1.1509771347045898,-1.682,0.020,0.601,0.465,8.1629e-05
1.1493287086486816,-1.622,0.028,0.549,0.451,8.1385e-05
1.149935245513916,-1.625,0.021,0.526,0.437,8.1139e-05
1.1507573127746582,-1.688,0.017,0.700,0.455,8.0893e-05
1.1503028869628906,-1.763,0.011,0.837,0.474,8.0645e-05
1.1509697437286377,-1.671,0.029,0.832,0.474,8.0397e-05
1.151693344116211,-1.671,0.026,0.645,0.448,8.0146e-05
1.151353359222412,-1.825,0.011,0.564,0.441,7.9895e-05
8.055843114852905,-1.868,0.011,0.587,0.449,7.9643e-05
1.1494626998901367,-1.781,0.020,0.697,0.469,7.9389e-05
1.1560702323913574,-1.636,0.024,0.873,0.494,7.9135e-05
1.1508677005767822,-1.790,0.022,0.974,0.505,7.8879e-05
1.1500756740570068,-1.664,0.018,0.804,0.475,7.8622e-05
1.1511080265045166,-1.710,0.011,0.541,0.432,7.8363e-05
1.1496498584747314,-1.749,0.015,0.453,0.413,7.8104e-05
1.150292158126831,-1.697,0.020,0.463,0.419,7.7844e-05
1.1520326137542725,-1.628,0.023,0.587,0.443,7.7582e-05
1.1519200801849365,-1.790,0.015,0.795,0.475,7.7320e-05
1.1505064964294434,-1.638,0.026,0.807,0.476,7.7056e-05
1.1499786376953125,-1.688,0.015,0.683,0.457,7.6791e-05
1.1539793014526367,-1.810,0.010,0.545,0.435,7.6526e-05
1.1506822109222412,-1.808,0.011,0.485,0.423,7.6259e-05
1.1500513553619385,-1.651,0.038,0.467,0.416,7.5991e-05
1.1559007167816162,-1.772,0.014,0.580,0.432,7.5722e-05
1.1510200500488281,-1.815,0.009,0.811,0.470,7.5452e-05
1.150411605834961,-1.770,0.028,0.957,0.495,7.5181e-05
1.150977611541748,-1.615,0.035,0.884,0.485,7.4909e-05
1.1519665718078613,-1.815,0.011,0.748,0.465,7.4636e-05
1.4078750610351562,-1.848,0.014,0.671,0.452,7.4363e-05
1.1501047611236572,-1.832,0.016,0.698,0.456,7.4088e-05
1.1527388095855713,-1.682,0.031,0.760,0.462,7.3812e-05
1.1504144668579102,-1.880,0.016,0.797,0.463,7.3535e-05
1.1497883796691895,-1.877,0.010,0.851,0.464,7.3258e-05
1.1497561931610107,-1.804,0.010,0.853,0.457,7.2979e-05
1.150984287261963,-1.868,0.013,0.788,0.441,7.2700e-05
1.1507232189178467,-1.723,0.015,0.781,0.438,7.2419e-05
1.1614270210266113,-1.685,0.020,0.830,0.451,7.2138e-05
1.1515421867370605,-1.781,0.022,0.914,0.469,7.1856e-05
1.1517894268035889,-1.887,0.011,1.048,0.494,7.1573e-05
1.1512451171875,-1.797,0.014,1.154,0.514,7.1289e-05
1.150169849395752,-1.746,0.017,1.215,0.523,7.1004e-05
1.1524021625518799,-1.865,0.010,1.156,0.512,7.0719e-05
1.1498095989227295,-1.730,0.023,1.038,0.484,7.0432e-05
1.1508924961090088,-1.822,0.016,0.987,0.471,7.0145e-05
1.1499173641204834,-1.781,0.013,1.006,0.472,6.9857e-05
1.1514315605163574,-1.796,0.017,1.057,0.480,6.9569e-05
1.1509451866149902,-1.812,0.016,1.054,0.482,6.9279e-05
1.1517643928527832,-1.835,0.013,1.138,0.496,6.8989e-05
3.7631266117095947,-1.858,0.006,1.154,0.498,6.8698e-05
1.1531007289886475,-1.813,0.021,1.094,0.488,6.8406e-05
1.1498923301696777,-1.823,0.013,1.049,0.478,6.8114e-05
1.1514739990234375,-1.912,0.007,1.069,0.479,6.7821e-05
1.1516468524932861,-1.781,0.019,1.109,0.482,6.7527e-05
1.1505260467529297,-1.801,0.012,1.110,0.481,6.7232e-05
1.1504285335540771,-1.827,0.010,1.089,0.479,6.6937e-05
1.1507551670074463,-1.862,0.012,1.103,0.484,6.6641e-05
1.150386095046997,-1.849,0.011,1.166,0.493,6.6344e-05
1.1510591506958008,-1.865,0.012,1.227,0.500,6.6047e-05
1.1518287658691406,-1.741,0.014,1.214,0.495,6.5749e-05
1.1551382541656494,-1.869,0.014,1.131,0.481,6.5451e-05
1.150850772857666,-1.890,0.010,1.060,0.468,6.5152e-05
1.1510794162750244,-1.903,0.012,1.049,0.464,6.4852e-05
1.1533763408660889,-1.829,0.011,1.048,0.464,6.4552e-05
1.1519439220428467,-1.894,0.008,1.113,0.476,6.4251e-05
1.1506972312927246,-1.931,0.008,1.162,0.487,6.3950e-05
1.150721549987793,-1.853,0.011,1.177,0.492,6.3648e-05
1.1510040760040283,-1.841,0.008,1.188,0.495,6.3345e-05
1.15659761428833,-1.893,0.006,1.197,0.496,6.3042e-05
1.2887823581695557,-1.657,0.024,1.215,0.496,6.2739e-05
1.1522092819213867,-1.755,0.016,1.202,0.490,6.2435e-05
1.153228759765625,-1.824,0.012,1.216,0.486,6.2130e-05
1.1512861251831055,-1.805,0.015,1.164,0.473,6.1825e-05
1.1645338535308838,-1.827,0.018,1.158,0.471,6.1520e-05
1.1510450839996338,-1.851,0.011,1.155,0.472,6.1214e-05
1.1508479118347168,-1.867,0.009,1.178,0.480,6.0907e-05
1.1508402824401855,-1.843,0.015,1.208,0.488,6.0600e-05
1.151782751083374,-1.806,0.017,1.242,0.494,6.0293e-05
1.1514403820037842,-1.828,0.012,1.243,0.496,5.9986e-05
1.1500775814056396,-1.980,0.005,1.223,0.498,5.9678e-05
1.1513328552246094,-1.924,0.005,1.213,0.502,5.9369e-05
1.1522190570831299,-1.846,0.012,1.273,0.512,5.9060e-05
1.1509881019592285,-1.871,0.014,1.338,0.522,5.8751e-05
1.1502604484558105,-1.959,0.009,1.338,0.525,5.8442e-05
1.1535320281982422,-1.837,0.008,1.329,0.529,5.8132e-05
1.1507184505462646,-1.870,0.009,1.384,0.542,5.7822e-05
1.152585506439209,-1.905,0.008,1.420,0.551,5.7511e-05
1.1509861946105957,-1.855,0.015,1.378,0.545,5.7201e-05
1.1517205238342285,-1.829,0.012,1.306,0.535,5.6890e-05
6.488125324249268,-1.908,0.007,1.237,0.521,5.6578e-05
1.1524269580841064,-1.894,0.010,1.247,0.517,5.6267e-05
1.1513915061950684,-1.815,0.011,1.285,0.517,5.5955e-05
1.1502978801727295,-1.898,0.009,1.361,0.526,5.5643e-05
1.1502959728240967,-1.887,0.012,1.473,0.542,5.5331e-05
1.153733491897583,-1.895,0.011,1.568,0.555,5.5018e-05
1.1620457172393799,-1.832,0.016,1.572,0.550,5.4705e-05
1.150700330734253,-1.864,0.019,1.452,0.531,5.4393e-05
1.1508193016052246,-1.891,0.015,1.353,0.516,5.4080e-05
1.1516609191894531,-1.928,0.011,1.310,0.507,5.3766e-05
1.1503369808197021,-1.910,0.009,1.353,0.511,5.3453e-05
1.1505684852600098,-1.834,0.015,1.436,0.517,5.3140e-05
1.151526927947998,-1.803,0.016,1.556,0.531,5.2826e-05
1.1528778076171875,-1.899,0.010,1.599,0.536,5.2512e-05
1.1498639583587646,-1.883,0.012,1.492,0.521,5.2198e-05
1.1502113342285156,-1.970,0.015,1.410,0.511,5.1885e-05
1.1526503562927246,-1.938,0.006,1.348,0.504,5.1571e-05
1.1511867046356201,-1.955,0.008,1.358,0.506,5.1257e-05
1.1507365703582764,-1.774,0.016,1.414,0.517,5.0942e-05
1.1596226692199707,-1.853,0.016,1.420,0.517,5.0628e-05
1.4463272094726562,-1.862,0.017,1.417,0.515,5.0314e-05
1.1518850326538086,-1.848,0.013,1.393,0.509,5.0000e-05
1.1519100666046143,-1.896,0.013,1.357,0.503,4.9686e-05
1.1514801979064941,-1.839,0.011,1.330,0.498,4.9372e-05
1.1500194072723389,-1.901,0.011,1.317,0.494,4.9058e-05
1.150339126586914,-1.856,0.012,1.348,0.495,4.8744e-05
1.1528759002685547,-1.933,0.007,1.393,0.500,4.8430e-05
1.1509792804718018,-1.895,0.010,1.438,0.506,4.8116e-05
1.150130033493042,-1.911,0.013,1.439,0.504,4.7802e-05
1.15224027633667,-1.905,0.007,1.402,0.501,4.7488e-05
1.1505815982818604,-1.866,0.010,1.339,0.493,4.7174e-05
1.1616730690002441,-1.854,0.011,1.322,0.490,4.6861e-05
1.1511914730072021,-1.945,0.008,1.350,0.493,4.6547e-05
1.1523792743682861,-1.919,0.007,1.413,0.499,4.6234e-05
1.1526262760162354,-1.844,0.018,1.392,0.495,4.5921e-05
1.1514465808868408,-1.961,0.009,1.355,0.492,4.5607e-05
1.1505115032196045,-1.839,0.009,1.319,0.490,4.5295e-05
1.153885841369629,-1.997,0.008,1.305,0.490,4.4982e-05
1.1519508361816406,-1.959,0.010,1.350,0.499,4.4669e-05
1.1513681411743164,-1.911,0.007,1.442,0.514,4.4357e-05
1.281205415725708,-1.912,0.011,1.547,0.532,4.4045e-05
1.1514265537261963,-1.908,0.016,1.674,0.551,4.3733e-05
1.1513447761535645,-1.969,0.006,1.817,0.570,4.3422e-05
1.1522045135498047,-1.895,0.008,1.870,0.577,4.3111e-05
1.1558952331542969,-1.947,0.009,1.859,0.576,4.2800e-05
1.1518571376800537,-1.856,0.014,1.700,0.550,4.2489e-05
1.1524543762207031,-1.914,0.011,1.543,0.524,4.2178e-05
1.1529512405395508,-1.844,0.011,1.478,0.512,4.1868e-05
1.1514620780944824,-1.783,0.009,1.451,0.509,4.1558e-05
1.1513381004333496,-1.917,0.008,1.498,0.517,4.1249e-05
1.1511924266815186,-1.972,0.009,1.561,0.528,4.0940e-05
1.1518990993499756,-1.918,0.007,1.663,0.543,4.0631e-05
1.1513888835906982,-1.859,0.012,1.708,0.553,4.0323e-05
1.1517629623413086,-1.892,0.010,1.680,0.553,4.0015e-05
1.1519122123718262,-1.949,0.006,1.641,0.550,3.9707e-05
1.1532196998596191,-1.919,0.010,1.632,0.547,3.9400e-05
1.1518867015838623,-1.929,0.010,1.634,0.547,3.9093e-05
1.1617486476898193,-1.836,0.007,1.654,0.552,3.8787e-05
1.1528348922729492,-1.867,0.014,1.681,0.558,3.8481e-05
1.1510183811187744,-1.887,0.012,1.695,0.559,3.8175e-05
1.549710988998413,-2.011,0.004,1.761,0.565,3.7870e-05
1.1512236595153809,-2.034,0.006,1.802,0.567,3.7566e-05
1.1513640880584717,-1.882,0.013,1.742,0.554,3.7262e-05
1.152245283126831,-1.797,0.012,1.615,0.534,3.6958e-05
1.1530256271362305,-1.870,0.013,1.498,0.516,3.6655e-05
1.152627944946289,-1.941,0.008,1.421,0.504,3.6352e-05
1.1513259410858154,-1.853,0.012,1.412,0.502,3.6051e-05
1.1513302326202393,-1.759,0.015,1.522,0.519,3.5749e-05
1.152815341949463,-1.943,0.011,1.703,0.546,3.5448e-05
1.152029037475586,-1.904,0.009,1.837,0.569,3.5148e-05
1.1519582271575928,-1.893,0.011,1.898,0.582,3.4848e-05
1.1513803005218506,-1.895,0.012,1.892,0.584,3.4549e-05
1.1524534225463867,-1.977,0.009,1.914,0.590,3.4251e-05
1.15234375,-1.924,0.009,1.896,0.589,3.3953e-05
1.1521050930023193,-2.022,0.007,1.901,0.588,3.3656e-05
1.1527369022369385,-1.877,0.011,1.876,0.582,3.3359e-05
1.1525068283081055,-1.961,0.007,1.873,0.577,3.3063e-05
1.1524324417114258,-1.910,0.011,1.826,0.566,3.2768e-05
1.1516830921173096,-1.941,0.010,1.774,0.555,3.2473e-05
1.15354323387146,-1.962,0.008,1.719,0.544,3.2179e-05
1.322300910949707,-2.015,0.008,1.683,0.537,3.1886e-05
1.1512937545776367,-1.905,0.010,1.683,0.534,3.1594e-05
1.1512346267700195,-1.986,0.010,1.672,0.530,3.1302e-05
1.155895709991455,-1.918,0.008,1.714,0.534,3.1011e-05
1.1510899066925049,-1.990,0.007,1.804,0.545,3.0721e-05
1.1519558429718018,-1.990,0.010,1.883,0.557,3.0431e-05
1.1529340744018555,-1.830,0.020,1.849,0.554,3.0143e-05
1.1516094207763672,-1.848,0.017,1.757,0.545,2.9855e-05
1.1518540382385254,-1.840,0.009,1.666,0.536,2.9568e-05
1.1542272567749023,-1.920,0.010,1.611,0.530,2.9281e-05
1.1517586708068848,-1.961,0.007,1.584,0.528,2.8996e-05
1.1515214443206787,-1.857,0.013,1.613,0.532,2.8711e-05
1.1516096591949463,-2.004,0.008,1.674,0.539,2.8427e-05
1.1519830226898193,-1.945,0.006,1.759,0.550,2.8144e-05
1.1511569023132324,-2.052,0.003,1.868,0.565,2.7862e-05
1.152597427368164,-1.966,0.010,1.955,0.576,2.7581e-05
1.1524732112884521,-1.899,0.007,1.966,0.578,2.7301e-05
1.1531391143798828,-1.933,0.013,1.947,0.577,2.7021e-05
1.1514215469360352,-1.900,0.011,1.911,0.573,2.6743e-05
1.1509394645690918,-1.844,0.017,1.904,0.573,2.6465e-05
1.385746717453003,-1.942,0.009,1.900,0.573,2.6188e-05
1.150707721710205,-1.900,0.010,1.901,0.573,2.5912e-05
1.1517822742462158,-1.891,0.010,1.905,0.573,2.5638e-05
1.1518332958221436,-1.956,0.009,1.911,0.574,2.5364e-05
1.1513817310333252,-2.018,0.010,1.936,0.577,2.5091e-05
1.151613712310791,-1.971,0.008,1.953,0.580,2.4819e-05
1.1530404090881348,-1.971,0.010,1.953,0.581,2.4548e-05
1.1529810428619385,-2.004,0.008,1.917,0.577,2.4278e-05
1.1513826847076416,-1.982,0.008,1.886,0.574,2.4009e-05
1.162506341934204,-2.004,0.007,1.860,0.570,2.3741e-05
1.1542248725891113,-1.999,0.005,1.869,0.570,2.3475e-05
1.151740312576294,-1.981,0.008,1.874,0.571,2.3209e-05
1.151968002319336,-1.950,0.006,1.866,0.569,2.2944e-05
1.1514956951141357,-1.921,0.010,1.847,0.563,2.2680e-05
1.1515858173370361,-1.908,0.008,1.814,0.557,2.2418e-05
1.1517901420593262,-1.944,0.008,1.804,0.555,2.2156e-05
1.1517724990844727,-1.995,0.009,1.803,0.555,2.1896e-05
1.1523125171661377,-1.939,0.010,1.804,0.555,2.1637e-05
1.1532366275787354,-2.006,0.006,1.800,0.555,2.1378e-05
1.1521437168121338,-2.039,0.005,1.822,0.559,2.1121e-05
3.028665542602539,-2.030,0.005,1.848,0.564,2.0866e-05
1.1523027420043945,-1.980,0.008,1.886,0.570,2.0611e-05
1.151259183883667,-1.946,0.008,1.945,0.579,2.0357e-05
1.1509315967559814,-1.956,0.008,2.001,0.588,2.0105e-05
1.1516554355621338,-1.974,0.007,2.058,0.596,1.9854e-05
1.1520299911499023,-1.981,0.007,2.107,0.604,1.9604e-05
1.1523480415344238,-1.998,0.010,2.138,0.607,1.9355e-05
1.152235984802246,-1.966,0.005,2.139,0.606,1.9107e-05
1.1533079147338867,-2.026,0.006,2.144,0.605,1.8861e-05
1.151848554611206,-1.907,0.012,2.082,0.595,1.8616e-05
